"","x"
"acredito",76
"artificial",65
"pessoas",58
"ser",48
"inteligência",47
"sim",46
"empregos",42
"outras",33
"fazer",33
"acho",29
"oportunidades",29
"humano",28
"substituir",27
"emprego",26
"vão",26
"outro",24
"trabalho",23
"máquinas",19
"exemplo",18
"homem",18
"roubar",17
"mente",17
"direciona",17
"cargos",17
"melhor",17
"todas",17
"vocea",17
"porque",16
"robôs",16
"humanos",16
"vida",16
"outros",15
"robô",15
"tecnologia",14
"podem",13
"saber",13
"gostaria",13
"obra",13
"produtos",13
"reduz",13
"sempre",13
"tempo",13
"realmente",12
"trabalhos",12
"substituído",12
"tipos",12
"ajudar",12
"futuro",12
"mundo",12
"máquina",11
"reduzir",11
"nada",11
"irá",10
"saúde",10
"acabar",10
"existe",10
"bermuda",10
"ajuda",9
"existir",9
"qualificam",9
"humana",9
"precisa",9
"produtividade",9
"aplicativo",9
"atendimentos",9
"chat",9
"diminui",9
"instituindo",9
"responde",9
"ruim",9
"tirando",9
"antigamente",9
"ate",9
"cada",9
"computadores",9
"dar",9
"deixar",9
"eduardo",9
"empresa",9
"enfim",9
"lugar",9
"manuais",9
"muitos",9
"novamente",9
"pensar",9
"produto",9
"realidade",9
"ronaldo",9
"tirar",9
"tomar",9
"tão",9
"profissões",9
"trabalhar",8
"protelatórias",8
"questões",8
"capaz",8
"conhecimento",8
"acontecer",8
"azul",8
"bermudas",8
"certeza",8
"cinco",8
"comprar",8
"dessas",8
"forma",8
"funciona",8
"intelectual",8
"novas",8
"principalmente",8
"ver",8
"substituídas",8
"ligação",8
"transformação",8
"único",8
"alta",7
"atividades",7
"carro",7
"certamente",7
"comando",7
"demandam",7
"dessa",7
"existiria",7
"minuto",7
"quer",7
"wave",7
"série",7
"tipo",6
"automatizado",6
"baixa",6
"boa",6
"insubstituedvel",6
"pode",6
"qualquer",6
"safa",6
"setores",6
"surgirão",6
"área",6
"aumentando",5
"mercado",5
"servisse",5
"tomando",5
"bom",5
"cem",5
"exigir",5
"intelectualmente",5
"jim",5
"modificar",5
"olha",5
"verdade",5
"acostumado",5
"conhece",5
"encontrar",5
"moldes",5
"mudar",5
"pessoa",5
"reinventam",5
"conciliar",5
"dois",5
"juntos",5
"paz",5
"trabalharem",5
"versus",5
"aumenta",5
"balista",5
"carga",5
"decesso",5
"estresse",5
"excesso",5
"extra",5
"falta",5
"ficou",5
"financeiramente",5
"ganhar",5
"gastos",5
"hora",5
"horas",5
"lei",5
"pagar",5
"planos",5
"pois",5
"processa",5
